fips,no.college.diploma
2013,88.5
2016,83
2020,63.9
2050,88.1
2060,77.5
2068,58.9
2070,77.9
2090,68.6
2100,66.2
2105,78.7
2110,61.6
2122,75.4
2130,74.7
2150,72
2164,83.9
2170,78.4
2180,83.9
2185,83.5
2188,86.8
2195,71.6
2198,81.7
2220,66.6
2230,70.4
2240,80.3
2261,69.2
2158,96.1
2275,80.6
2282,77.4
2290,86.4
6001,52.6
6005,80.7
6007,72.8
6009,81.7
6011,85
6013,57.6
6015,85.2
6017,65.7
6021,85.8
6023,69.6
6031,85.3
6033,84.5
6035,87.1
6041,40.5
6043,75.4
6045,75.6
6047,86.2
6049,84.8
6053,75.3
6055,64.3
6057,62.8
6061,60.3
6063,76.3
6067,69.1
6069,80.3
6075,41.9
6077,81.2
6079,64.6
6081,49
6083,65.8
6085,47.6
6087,59.2
6089,77.8
6091,82.1
6093,76.8
6095,73.1
6097,64.5
6099,82.9
6101,81.8
6103,84.3
6105,80.5
6109,79.5
6113,58.6
6115,82.9
15001,70.6
15003,65
15005,75.8
15007,70.8
15009,72.8
41003,45.9
41005,62.6
41007,75.6
41009,81.5
41011,82.2
41013,80.2
41015,75.4
41017,64.6
41019,82.7
41021,82.6
41027,68
41029,72.2
41031,80.6
41033,82.5
41035,80
41037,83.6
41039,69.5
41041,75.1
41043,80.7
41047,76.5
41051,54.1
41053,69
41055,82.7
41057,78.2
41065,80.4
41067,55.6
41069,85.1
41071,73.1
53007,74.2
53009,72.6
53011,69.4
53015,83
53027,83.5
53029,66.4
53031,55.7
53033,47.5
53035,66.8
53037,67.7
53039,68.5
53041,82.3
53045,82.4
53047,80
53049,81.1
53053,72.8
53055,50.2
53057,73.8
53059,75.5
53061,67.2
53067,64.3
53069,80.6
53073,65.7
53077,83.3
4001,87.7
4003,76.9
4005,63.8
4007,81.3
4009,84.8
4011,86.5
4012,88
4013,67.3
4015,87.1
4017,84.7
4019,67.6
4021,80.5
4023,79.6
4025,74.1
4027,85
6003,65.5
6019,78.8
6025,84.8
6027,72.8
6029,83.6
6037,67.5
6039,85.4
6051,71.2
6059,59.4
6065,77.7
6071,79
6073,61.2
6107,85.4
6111,66.2
8007,62.8
8029,78.3
8033,75.9
8045,69
8051,43.8
8053,54.3
8067,55.8
8077,71.8
8079,53.5
8081,82.4
8083,70.4
8085,74.8
8091,52.2
8097,39.2
8103,77.3
8107,50.2
8111,64.3
8113,40.6
16001,61.5
16005,72.2
16007,81.1
16011,78.8
16013,64.6
16015,72.9
16019,68.7
16023,83.8
16025,83.7
16027,81.3
16029,81
16031,81.4
16033,87.8
16037,75.6
16039,81.3
16041,82.3
16043,78.3
16045,82.5
16047,82.8
16051,75.3
16053,83.9
16063,89.7
16065,63.6
16067,85.9
16071,82.9
16073,88
16075,84.3
16077,84.9
16081,59
16083,79.4
16087,83.7
32001,81.2
32003,75.5
32005,70.6
32007,83.4
32009,83.9
32011,91.2
32013,83.2
32015,87.6
32017,80.4
32019,85.6
32021,85.1
32023,89.3
32027,88.9
32029,68.6
32031,69.2
32033,86.8
32510,77.8
35003,84.3
35006,85.8
35013,72.9
35017,71.2
35023,85.4
35029,87.5
35031,88.6
35043,69.5
35045,85.1
35051,78.9
35053,78
35061,81.5
41023,81.1
41025,81.6
41045,86.3
49001,78.9
49003,76.1
49005,61.7
49007,82.9
49009,86.6
49011,62.2
49013,85.3
49015,83.7
49017,74.1
49019,71.4
49021,70.2
49023,84
49025,70.1
49027,79.4
49029,60.6
49031,79.8
49033,77
49035,64.4
49037,81.7
49039,79.1
49041,81.5
49043,45
49045,75.8
49047,84.2
49049,59.2
49051,60.1
49053,71.9
49055,76.6
49057,75.5
56003,81
56007,79.4
56013,75.7
56017,76.3
56023,76.3
56025,77.2
56029,66
56035,77.2
56037,77.5
56039,43
